Match Code,Code,Year,Tour,Tournament,Stage,Type,Winner,Loser,URL,View Count,Duration
,01,2023,WTA,US,Final,A - Match Highlights,,,,,
,02,2023,ATP,US,Final,A - Match Highlights,,,,,
,03,2023,WTA,WB,Final,A - Match Highlights,Vondrousova,Jabeur,https://www.youtube.com/watch?v=3c9n9tXK0GY,,
,04,2023,ATP,WB,Final,A - Match Highlights,Alcaraz,Djokovic,https://www.youtube.com/watch?v=K-VmllVIOXA,,
,05,2023,WTA,RG,Final,A - Match Highlights,Swiatek,Muchova,https://www.youtube.com/watch?v=3aVEdw3ATQY,,
,06,2023,ATP,RG,Final,A - Match Highlights,Djokovic,Ruud,https://www.youtube.com/watch?v=Rfcfzh2ujVE,,
,07,2023,WTA,AO,Final,A - Match Highlights,Sabalenka,Rybakina,https://www.youtube.com/watch?v=Zz_1D1QBwu4,,
,08,2023,ATP,AO,Final,A - Match Highlights,Djokovic,Tsitsipas,https://www.youtube.com/watch?v=xeO5rfW2nUc,,
,09,2022,WTA,US,Final,A - Match Highlights,Swiatek,Jabeur,https://www.youtube.com/watch?v=F9bCq3Z2xM8,,
,10,2022,ATP,US,Final,A - Match Highlights,Alcaraz,Ruud,https://www.youtube.com/watch?v=SEFnfcfvLkw,,
,11,2022,WTA,WB,Final,A - Match Highlights,Rybakina,Jabeur,https://www.youtube.com/watch?v=BzkN0Yfoyh0,,
,12,2022,ATP,WB,Final,A - Match Highlights,Djokovic,Kyrgios,https://www.youtube.com/watch?v=RO52Y8SOIUU,,
,13,2022,WTA,RG,Final,A - Match Highlights,Swiatek,Gauff,https://www.youtube.com/watch?v=ygm80MT5cok,,
,14,2022,ATP,RG,Final,A - Match Highlights,Nadal,Ruud,https://www.youtube.com/watch?v=l3KfbfkxJOU,,
,15,2022,WTA,AO,Final,A - Match Highlights,Barty,Collins,https://www.youtube.com/watch?v=6BAx0jRXyiQ,,
,16,2022,ATP,AO,Final,A - Match Highlights,Nadal,Medvedev,https://www.youtube.com/watch?v=pJO4vX7ne1g,,
,17,2021,WTA,US,Final,A - Match Highlights,Raducanu,Fernandez,https://www.youtube.com/watch?v=hRydTS4kCaE,,
,18,2021,ATP,US,Final,A - Match Highlights,Medvedev,Djokovic,https://www.youtube.com/watch?v=MEFpXBwnyQA,,
,19,2021,WTA,WB,Final,A - Match Highlights,Barty,Pliskova,https://www.youtube.com/watch?v=fVZROvO50K8,,
,20,2021,ATP,WB,Final,A - Match Highlights,Djokovic,Berrettini,https://www.youtube.com/watch?v=1IBhpowmI8s,,
,21,2021,WTA,RG,Final,A - Match Highlights,Krejcikova,Pavlyuchenkova,https://www.youtube.com/watch?v=WuaksM9g7yg,,
,22,2021,ATP,RG,Final,A - Match Highlights,Djokovic,Tsitsipas,https://www.youtube.com/watch?v=c7O8a68d_xM,,
,23,2021,WTA,AO,Final,A - Match Highlights,Osaka,Brady,https://www.youtube.com/watch?v=DLCZydoVaGM,,
,24,2021,ATP,AO,Final,A - Match Highlights,Djokovic,Medvedev,https://www.youtube.com/watch?v=vd8-dTcZpFk,,
,25,2020,WTA,US,Final,A - Match Highlights,Osaka,Azarenka,https://www.youtube.com/watch?v=ncAyvy4Q81M,,
,26,2020,ATP,US,Final,A - Match Highlights,Thiem,Zverev,https://www.youtube.com/watch?v=RIevWd_4Sig,,
,27,2020,WTA,WB,Final,A - Match Highlights,,,,,
,28,2020,ATP,WB,Final,A - Match Highlights,,,,,
,29,2020,WTA,RG,Final,A - Match Highlights,Swiatek,Kenin,https://www.youtube.com/watch?v=OwKaLdNEjlI,,
,30,2020,ATP,RG,Final,A - Match Highlights,Nadal,Djokovic,https://www.youtube.com/watch?v=gkIsvlZDG-Y,,
,31,2020,WTA,AO,Final,A - Match Highlights,Kenin,Muguruza,https://www.youtube.com/watch?v=SVgVfwUK1XA,,
,32,2020,ATP,AO,Final,A - Match Highlights,Djokovic,Thiem,https://www.youtube.com/watch?v=0FsIdkTFLms,,
,33,2019,WTA,US,Final,A - Match Highlights,Andreescu,Serena,https://www.youtube.com/watch?v=gTdKP61cXhc,,
,34,2019,ATP,US,Final,A - Match Highlights,Nadal,Medvedev,https://www.youtube.com/watch?v=S63gJTsLiXc,,
,35,2019,WTA,WB,Final,A - Match Highlights,Halep,Serena,https://www.youtube.com/watch?v=VRzVd1OZoaQ,,
,36,2019,ATP,WB,Final,A - Match Highlights,Djokovic,Federer,https://www.youtube.com/watch?v=mnLdAeSXZv0,,
,37,2019,WTA,RG,Final,A - Match Highlights,Barty,Vondrousova,https://www.youtube.com/watch?v=w1cIXHY7p0Y,,
,38,2019,ATP,RG,Final,A - Match Highlights,Nadal,Thiem,https://www.youtube.com/watch?v=bjjJnuPReVY,,
,39,2019,WTA,AO,Final,A - Match Highlights,Osaka,Kvitova,https://www.youtube.com/watch?v=KZZyR3Hm3F0,,
,40,2019,ATP,AO,Final,A - Match Highlights,Djokovic,Nadal,https://www.youtube.com/watch?v=4EVOO_wuUkM,,