Match Code,Match Code 2,Code,Year,Tour,Tournament,Stage,Type,Type Code,Winner,Loser,URL,View Count,Duration
2023_W_US_FN,2023_W_US_FN_F,01,2023,WTA,US,Final,D - Full Match,F,,,,,
2023_M_US_FN,2023_M_US_FN_F,02,2023,ATP,US,Final,D - Full Match,F,,,,,
2023_W_WB_FN,2023_W_WB_FN_F,03,2023,WTA,WB,Final,D - Full Match,F,Vondrousova,Jabeur,,,
2023_M_WB_FN,2023_M_WB_FN_F,04,2023,ATP,WB,Final,D - Full Match,F,Alcaraz,Djokovic,https://www.youtube.com/watch?v=5uFAkizQNJI,,
2023_W_RG_FN,2023_W_RG_FN_F,05,2023,WTA,RG,Final,D - Full Match,F,Swiatek,Muchova,,,
2023_M_RG_FN,2023_M_RG_FN_F,06,2023,ATP,RG,Final,D - Full Match,F,Djokovic,Ruud,,,
2023_W_AO_FN,2023_W_AO_FN_F,07,2023,WTA,AO,Final,D - Full Match,F,Sabalenka,Rybakina,,,
2023_M_AO_FN,2023_M_AO_FN_F,08,2023,ATP,AO,Final,D - Full Match,F,Djokovic,Tsitsipas,,,
2022_W_US_FN,2022_W_US_FN_F,09,2022,WTA,US,Final,D - Full Match,F,Swiatek,Jabeur,,,
2022_M_US_FN,2022_M_US_FN_F,10,2022,ATP,US,Final,D - Full Match,F,Alcaraz,Ruud,https://www.youtube.com/watch?v=HCIhFyeQxu0,,
2022_W_WB_FN,2022_W_WB_FN_F,11,2022,WTA,WB,Final,D - Full Match,F,Rybakina,Jabeur,,,
2022_M_WB_FN,2022_M_WB_FN_F,12,2022,ATP,WB,Final,D - Full Match,F,Djokovic,Kyrgios,,,
2022_W_RG_FN,2022_W_RG_FN_F,13,2022,WTA,RG,Final,D - Full Match,F,Swiatek,Gauff,,,
2022_M_RG_FN,2022_M_RG_FN_F,14,2022,ATP,RG,Final,D - Full Match,F,Nadal,Ruud,,,
2022_W_AO_FN,2022_W_AO_FN_F,15,2022,WTA,AO,Final,D - Full Match,F,Barty,Collins,,,
2022_M_AO_FN,2022_M_AO_FN_F,16,2022,ATP,AO,Final,D - Full Match,F,Nadal,Medvedev,,,
2021_W_US_FN,2021_W_US_FN_F,17,2021,WTA,US,Final,D - Full Match,F,Raducanu,Fernandez,https://www.youtube.com/watch?v=F99Kz2eptqM,,
2021_M_US_FN,2021_M_US_FN_F,18,2021,ATP,US,Final,D - Full Match,F,Medvedev,Djokovic,https://www.youtube.com/watch?v=yACtNdJaBso,,
2021_W_WB_FN,2021_W_WB_FN_F,19,2021,WTA,WB,Final,D - Full Match,F,Barty,Pliskova,,,
2021_M_WB_FN,2021_M_WB_FN_F,20,2021,ATP,WB,Final,D - Full Match,F,Djokovic,Berrettini,,,
2021_W_RG_FN,2021_W_RG_FN_F,21,2021,WTA,RG,Final,D - Full Match,F,Krejcikova,Pavlyuchenkova,,,
2021_M_RG_FN,2021_M_RG_FN_F,22,2021,ATP,RG,Final,D - Full Match,F,Djokovic,Tsitsipas,,,
2021_W_AO_FN,2021_W_AO_FN_F,23,2021,WTA,AO,Final,D - Full Match,F,Osaka,Brady,https://www.youtube.com/watch?v=AnWCIikbiO0,,
2021_M_AO_FN,2021_M_AO_FN_F,24,2021,ATP,AO,Final,D - Full Match,F,Djokovic,Medvedev,https://www.youtube.com/watch?v=MG-RjlqyaJI,,
2020_W_US_FN,2020_W_US_FN_F,25,2020,WTA,US,Final,D - Full Match,F,Osaka,Azarenka,https://www.youtube.com/watch?v=LVjO-dH0P6c,,
2020_M_US_FN,2020_M_US_FN_F,26,2020,ATP,US,Final,D - Full Match,F,Thiem,Zverev,,,
2020_W_WB_FN,2020_W_WB_FN_F,27,2020,WTA,WB,Final,D - Full Match,F,,,,,
2020_M_WB_FN,2020_M_WB_FN_F,28,2020,ATP,WB,Final,D - Full Match,F,,,,,
2020_W_RG_FN,2020_W_RG_FN_F,29,2020,WTA,RG,Final,D - Full Match,F,Swiatek,Kenin,,,
2020_M_RG_FN,2020_M_RG_FN_F,30,2020,ATP,RG,Final,D - Full Match,F,Nadal,Djokovic,,,
2020_W_AO_FN,2020_W_AO_FN_F,31,2020,WTA,AO,Final,D - Full Match,F,Kenin,Muguruza,https://www.youtube.com/watch?v=FY1DeATclio,,
2020_M_AO_FN,2020_M_AO_FN_F,32,2020,ATP,AO,Final,D - Full Match,F,Djokovic,Thiem,https://www.youtube.com/watch?v=AGW3o-7Hx50,,
2019_W_US_FN,2019_W_US_FN_F,33,2019,WTA,US,Final,D - Full Match,F,Andreescu,Serena,https://www.youtube.com/watch?v=GCzsODijnqw,,
2019_M_US_FN,2019_M_US_FN_F,34,2019,ATP,US,Final,D - Full Match,F,Nadal,Medvedev,https://www.youtube.com/watch?v=ROaqNQ-12Js,,
2019_W_WB_FN,2019_W_WB_FN_F,35,2019,WTA,WB,Final,D - Full Match,F,Halep,Serena,https://www.youtube.com/watch?v=fduc5bZx3ss,,
2019_M_WB_FN,2019_M_WB_FN_F,36,2019,ATP,WB,Final,D - Full Match,F,Djokovic,Federer,https://www.youtube.com/watch?v=TUikJi0Qhhw,,
2019_W_RG_FN,2019_W_RG_FN_F,37,2019,WTA,RG,Final,D - Full Match,F,Barty,Vondrousova,,,
2019_M_RG_FN,2019_M_RG_FN_F,38,2019,ATP,RG,Final,D - Full Match,F,Nadal,Thiem,,,
2019_W_AO_FN,2019_W_AO_FN_F,39,2019,WTA,AO,Final,D - Full Match,F,Osaka,Kvitova,https://www.youtube.com/watch?v=5ox8uWPCn0I,,
2019_M_AO_FN,2019_M_AO_FN_F,40,2019,ATP,AO,Final,D - Full Match,F,Djokovic,Nadal,https://www.youtube.com/watch?v=nHBA_K0RooU,,